,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
129,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java,[],4,1,"[(532, 535, 4)]"
130,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,[],0,1,"[(0, 0, 0)]"
131,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java,[],51,4,"[(110, 119, 10), (157, 166, 10), (199, 208, 10), (282, 302, 21)]"
132,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,[],3,2,"[(177, 178, 2), (1153, 1153, 1)]"
133,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/keyguard/NumPadKey.java,[],3,1,"[(40, 42, 3)]"
134,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/wm/DisplayRotation.java,[],2,1,"[(70, 71, 2)]"
135,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,[],2,1,"[(85, 86, 2)]"
136,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/notification/NotificationManagerService.java,[],1,1,"[(6815, 6815, 1)]"
137,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,[],3,1,"[(10, 12, 3)]"
138,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,libs/WindowManager/Shell/src/com/android/wm/shell/back/BackAnimationController.java,[],7,3,"[(0, 0, 0), (397, 402, 6), (520, 520, 1)]"
139,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/wm/RootWindowContainer.java,[],17,3,"[(181, 182, 2), (808, 809, 2), (1084, 1096, 13)]"
140,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,libs/WindowManager/Shell/src/com/android/wm/shell/back/BackAnimation.java,[],12,1,"[(50, 61, 12)]"
141,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/shared/src/com/android/systemui/shared/rotation/RotationButtonController.java,[],0,1,"[(0, 0, 0)]"
142,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],1,1,"[(374, 374, 1)]"
143,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSIconViewImpl.java,[],13,1,"[(242, 254, 13)]"
144,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],2,2,"[(760, 760, 1), (795, 795, 1)]"
145,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,core/java/android/provider/Settings.java,[],8,1,"[(5500, 5507, 8)]"
146,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/audio/AudioService.java,[],2,1,"[(1076, 1077, 2)]"
147,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,core/java/com/android/internal/widget/LocalImageResolver.java,[],7,1,"[(112, 118, 7)]"
148,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/CentralSurfacesImplTest.java,[],5,2,"[(284, 285, 2), (471, 473, 3)]"
149,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,[],18,7,"[(46, 46, 1), (95, 95, 1), (108, 108, 1), (130, 131, 2), (240, 242, 3), (500, 502, 3), (509, 515, 7)]"
150,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/volume/VolumeDialogImpl.java,[],18,2,"[(85, 85, 1), (1275, 1291, 17)]"
151,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/recents/ScreenPinningRequest.java,[],2,1,"[(253, 254, 2)]"
152,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java,[],35,2,"[(590, 622, 33), (1032, 1033, 2)]"
153,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java,[],1,1,"[(340, 340, 1)]"
154,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/connectivity/Vpn.java,[],104,1,"[(2937, 3040, 104)]"
155,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java,[],4,2,"[(792, 793, 2), (876, 877, 2)]"
156,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarTransitions.java,[],1,1,"[(34, 34, 1)]"
157,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/tests/src/com/android/systemui/globalactions/GlobalActionsDialogLiteTest.java,[],1,1,"[(118, 118, 1)]"
158,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/tests/src/com/android/systemui/qs/QSFragmentTest.java,[],0,1,"[(0, 0, 0)]"
159,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/display/AutomaticBrightnessController.java,[],8,1,"[(446, 453, 8)]"
160,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/policy/BrightnessMirrorController.java,[],16,2,"[(36, 40, 5), (84, 94, 11)]"
161,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/tests/src/com/android/systemui/media/dialog/MediaOutputAdapterTest.java,[],0,2,"[(0, 0, 0), (0, 0, 0)]"
162,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],8,9,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (134, 135, 2), (0, 0, 0), (153, 153, 1), (0, 0, 0), (0, 0, 0), (496, 500, 5)]"
163,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,[],3,3,"[(230, 230, 1), (239, 239, 1), (315, 315, 1)]"
164,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/connectivity/MobileSignalController.java,[],1,1,"[(274, 274, 1)]"
