Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
0,9d930f996e6d31820e201f4eb7dd7bf11127f932,services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java,"['void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_flagAutoExpandForeground_succeeds_foreground()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_bubbleChildrenStay_whenGroupSummaryDismissed()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_bubbleChildrenStay_whenGroupSummaryClicked()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_flagAutoExpandForeground_fails_notForeground()']",155,1,"[(5249, 5403, 155)]",True
1,a5464e4c3f2a28630d99d1d7996bd3c41ec2877f,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,"['boolean com.android.systemui.statusbar.phone.StatusBar.isAutomotive()', 'boolean com.android.systemui.statusbar.phone.StatusBar.updateIsKeyguard()']",6,1,"[(3269, 3274, 6)]",True
3,05fa7e2c3e169e955e815187e15fd141fe9aa95b,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],3,1,"[(698, 700, 3)]",True
4,09f6943068695f12f8f624668cbff7572dfa6053,core/java/com/android/internal/util/ScreenshotHelper.java,"['void com.android.internal.util.ScreenshotHelper.takeScreenshot(int,boolean,boolean,long,Handler,Consumer<Uri>)']",13,2,"[(3, 6, 4), (103, 111, 9)]",True
5,3a6c4af35c60db2b635f8f4c414b6c921a80a293,packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java,['void com.android.systemui.screenshot.GlobalScreenshot.<init>(Context)'],2,1,"[(695, 696, 2)]",True
6,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"['void com.android.server.policy.keyguard.KeyguardStateMonitor.<init>(Context,IKeyguardService,StateCallback)', 'void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)']",26,3,"[(59, 61, 3), (66, 66, 1), (100, 121, 22)]",True
7,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java,"['boolean com.android.systemui.appops.AppOpsControllerImpl.isUserSensitive(int,int,String)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(int,int,String)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(AppOpItem)', 'void com.android.systemui.appops.AppOpsControllerImpl.notifySuscribers(int,int,String,boolean)']",55,2,"[(232, 284, 53), (369, 370, 2)]",True
9,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java,['void com.android.systemui.classifier.FalsingManagerProxy.setupFalsingManager(Context)'],3,1,"[(103, 105, 3)]",True
11,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/pm/Settings.java,"['boolean com.android.server.pm.Settings.removeIntentFilterVerificationLPw(String,int)']",1,1,"[(1254, 1254, 1)]",True
14,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/pm/PackageManagerService.java,"['void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)']",23,9,"[(18194, 18203, 10), (0, 0, 0), (18214, 18214, 1), (18220, 18220, 1), (18225, 18227, 3), (18234, 18237, 4), (18243, 18243, 1), (18255, 18256, 2), (18272, 18272, 1)]",True
22,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java,[],1,1,"[(42, 42, 1)]",True
23,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,['void com.android.systemui.statusbar.phone.StatusBar.startKeyguard()'],1,1,"[(1365, 1365, 1)]",True
25,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/appop/AppOpsService.java,"['int com.android.server.appop.AppOpsService.checkOperationUnchecked(int,int,String,boolean)', 'boolean com.android.server.appop.AppOpsService.isOpRestrictedLocked(int,int,String,boolean)']",16,2,"[(1850, 1863, 14), (2780, 2781, 2)]",True
27,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.<init>(Context,AttributeSet,boolean,NotificationRoundnessManager,DynamicPrivacyController,ConfigurationController,ActivityStarter,StatusBarStateController,HeadsUpManagerPhone,KeyguardBypassController,FalsingManager)', 'void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.updateBackgroundBounds()']",5,3,"[(573, 573, 1), (417, 417, 1), (2587, 2589, 3)]",True
33,f67897bc05520f743974fc397aa96e4049a057b3,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"['void com.android.server.policy.keyguard.KeyguardStateMonitor.<init>(Context,IKeyguardService,StateCallback)', 'void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)']",26,3,"[(59, 61, 3), (66, 66, 1), (100, 121, 22)]",True
