Unnamed: 0,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details,is_in_aff_files
5,e15313dd5c01373f4e046366a36472a1913e3e39,packages/SystemUI/src/com/android/systemui/Dependency.java,[],1,1,"[(368, 368, 1)]",True
7,e15313dd5c01373f4e046366a36472a1913e3e39,services/core/java/com/android/server/pm/PackageManagerService.java,"['int com.android.server.pm.PackageManagerService.ComputerEngine.updateFlags(int,int)', 'void com.android.server.pm.PackageManagerService.loadPrivatePackagesInner(VolumeInfo)', 'void com.android.server.pm.PackageManagerService.loadPrivatePackagesInner(VolumeInfo)']",3,3,"[(4458, 4458, 1), (25451, 25451, 1), (25451, 25451, 1)]",True
