,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
31,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/ExpandableNotificationRowController.java,[],26,2,"[(105, 129, 25), (227, 227, 1)]"
32,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImpl.java,[],4,2,"[(219, 221, 3), (450, 450, 1)]"
33,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/core/java/com/android/server/am/ActiveServices.java,[],2,1,"[(3423, 3424, 2)]"
34,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityCallback.java,[],8,2,"[(28, 30, 3), (40, 44, 5)]"
35,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/core/java/com/android/server/notification/SnoozeHelper.java,[],10,6,"[(132, 132, 1), (142, 142, 1), (206, 206, 1), (216, 219, 4), (0, 0, 0), (313, 315, 3)]"
36,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityContainerController.java,[],14,2,"[(189, 192, 4), (577, 586, 10)]"
37,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/tests/uiservicestests/src/com/android/server/notification/SnoozeHelperTest.java,[],1,1,"[(616, 616, 1)]"
38,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/row/NotificationTestHelper.java,[],1,1,"[(552, 552, 1)]"
39,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/tests/src/com/android/systemui/clipboardoverlay/ClipboardListenerTest.java,[],79,6,"[(0, 0, 0), (68, 68, 1), (82, 92, 11), (102, 110, 9), (0, 0, 0), (196, 253, 58)]"
40,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/interruption/NotificationInterruptStateProviderImplTest.java,[],441,17,"[(0, 0, 0), (106, 110, 5), (400, 526, 127), (531, 535, 5), (544, 595, 52), (604, 617, 14), (623, 639, 17), (645, 649, 5), (655, 667, 13), (677, 681, 5), (690, 703, 14), (712, 725, 14), (734, 739, 6), (744, 748, 5), (761, 768, 8), (774, 913, 140), (1049, 1059, 11)]"
41,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java,[],53,1,"[(4400, 4452, 53)]"
42,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/core/java/com/android/server/pm/permission/PermissionManagerService.java,[],0,1,"[(0, 0, 0)]"
43,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/tests/wmtests/src/com/android/server/wm/TaskFragmentOrganizerControllerTest.java,[],1,1,"[(495, 495, 1)]"
44,840a15b39fd720a077e075bb494f9d38f8f0aa08,services/core/java/com/android/server/pm/InstallPackageHelper.java,[],1,1,"[(2114, 2114, 1)]"
45,840a15b39fd720a077e075bb494f9d38f8f0aa08,packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java,[],287,5,"[(26, 28, 3), (95, 95, 1), (367, 372, 6), (388, 390, 3), (411, 684, 274)]"
46,840a15b39fd720a077e075bb494f9d38f8f0aa08,core/java/android/window/TaskFragmentOrganizer.java,[],3,1,"[(403, 405, 3)]"
47,df01e40d95f138100382208841efae354e4844db,services/core/java/com/android/server/wm/LetterboxUiController.java,[],2,1,"[(1621, 1622, 2)]"
48,df01e40d95f138100382208841efae354e4844db,packages/SystemUI/src/com/android/systemui/shade/QuickSettingsController.java,[],1,1,"[(319, 319, 1)]"
49,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/qs/tiles/InternetTile.java,[],3,1,"[(257, 259, 3)]"
50,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeaderController.java,[],22,1,"[(128, 149, 22)]"
51,42803229a71b47a28ef777291f8c629ad98b0238,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],1,1,"[(645, 645, 1)]"
52,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,[],70,2,"[(45, 46, 2), (607, 674, 68)]"
53,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/qs/QSHost.java,[],0,1,"[(0, 0, 0)]"
54,42803229a71b47a28ef777291f8c629ad98b0238,services/usb/java/com/android/server/usb/UsbDeviceManager.java,[],3,1,"[(954, 956, 3)]"
55,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],0,1,"[(0, 0, 0)]"
56,42803229a71b47a28ef777291f8c629ad98b0238,core/java/android/hardware/Camera.java,[],4,1,"[(344, 347, 4)]"
57,42803229a71b47a28ef777291f8c629ad98b0238,services/core/java/com/android/server/accounts/AccountManagerService.java,[],1,1,"[(4945, 4945, 1)]"
58,42803229a71b47a28ef777291f8c629ad98b0238,packages/SettingsLib/IllustrationPreference/src/com/android/settingslib/widget/IllustrationPreference.java,[],1,1,"[(122, 122, 1)]"
59,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,[],6,1,"[(307, 312, 6)]"
60,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/AutoTileManagerTest.java,[],2,4,"[(0, 0, 0), (523, 523, 1), (540, 540, 1), (0, 0, 0)]"
61,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java,[],76,4,"[(372, 372, 1), (811, 812, 2), (901, 902, 2), (2490, 2560, 71)]"
62,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/statusbar/phone/AutoTileManager.java,[],1,1,"[(282, 282, 1)]"
63,42803229a71b47a28ef777291f8c629ad98b0238,packages/SettingsProvider/src/android/provider/settings/backup/SecureSettings.java,[],1,1,"[(222, 222, 1)]"
64,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java,[],232,4,"[(31, 67, 37), (80, 118, 39), (126, 204, 79), (220, 296, 77)]"
65,42803229a71b47a28ef777291f8c629ad98b0238,packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java,[],4,1,"[(546, 549, 4)]"
66,42803229a71b47a28ef777291f8c629ad98b0238,packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java,[],1,1,"[(353, 353, 1)]"
67,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SettingsLib/src/com/android/settingslib/drawer/CategoryKey.java,[],2,1,"[(69, 70, 2)]"
68,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,[],3,1,"[(62, 64, 3)]"
69,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,services/appwidget/java/com/android/server/appwidget/AppWidgetXmlUtil.java,[],1,1,"[(96, 96, 1)]"
70,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java,[],0,1,"[(0, 0, 0)]"
71,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,[],3,1,"[(282, 284, 3)]"
72,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java,[],4,1,"[(532, 535, 4)]"
73,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,services/core/java/com/android/server/media/MediaSessionRecord.java,[],2,2,"[(939, 940, 2), (0, 0, 0)]"
74,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SettingsProvider/src/android/provider/settings/validators/GlobalSettingsValidators.java,[],30,1,"[(178, 207, 30)]"
75,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SettingsLib/tests/robotests/src/com/android/settingslib/drawer/CategoryKeyTest.java,[],1,1,"[(63, 63, 1)]"
76,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,services/core/java/com/android/server/statusbar/StatusBarManagerService.java,[],7,1,"[(2161, 2167, 7)]"
77,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,core/java/android/hardware/Camera.java,[],4,1,"[(334, 337, 4)]"
78,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java,[],2,1,"[(783, 784, 2)]"
